生产企业,疫苗名称,供应价,省市,申报企业,原产,年份
华北制药金坦生物技术股份有限公司,重组乙型肝炎疫苗,93.5,上海市,华北制药金坦生物技术股份有限公司, 国产,2018
大连汉信生物制药有限公司,重组乙型肝炎疫苗,89.5,上海市,大连汉信生物制药有限公司, 国产,2018
上海葛兰素史克生物制品有限公司,重组乙型肝炎疫苗,83.5,上海市,上海葛兰素史克生物制品有限公司, 国产,2018
北京北生研生物制品有限公司,重组乙型肝炎疫苗,41.5,上海市,北京北生研生物制品有限公司, 国产,2018
上海葛兰素史克生物制品有限公司,重组乙型肝炎疫苗,93.5,上海市,上海葛兰素史克生物制品有限公司, 国产,2018
深圳康泰生物制品股份有限公司,重组乙型肝炎疫苗,225.5,上海市,深圳康秦生物制品股份有限公司, 国产,2018
辽宁成大生物股份有限公司,乙型脑炎灭活疫苗,76.5,上海市,辽宁成大生物股份有限公司, 国产,2018
玉溪沃森生物技术有限公司,ACYW135群脑膜炎球菌多糖疫苗,65.5,上海市,玉溪沃森生物技术有限公司, 国产,2018
北京智飞绿竹生物制药有限公司,ACYW135群脑膜炎球菌多糖疫苗,64.5,上海市,北京智飞绿竹生物制药有限公司, 国产,2018
北京智飞绿竹生物制药有限公司,A群C群脑膜炎球菌多糖结合疫苗,82.5,上海市,北京智飞绿竹生物制药有限公司, 国产,2018
罗益（无锡）生物制药有限公司,A群C群脑膜炎球菌多糖结合疫苗,120.5,上海市,罗益（无锡）生物制药有限公司, 国产,2018
玉溪沃森生物技术有限公司,A群C群脑膜炎球菌多糖结合疫苗,88.5,上海市,玉溪沃森生物技术有限公司, 国产,2018
北京民海生物科技有限公司,麻疹风疹联合减毒活疫苗,47.5,上海市,北京民海生物科技有限公司, 国产,2018
上海生物制品研究所有限责任公司,麻腮风联合减毒活疫苗,81.5,上海市,上海生物制品研究所有限责任公司, 国产,2018
上海生物制品研究所有限责任公司,水痘减毒活疫苗,141.5,上海市,上海生物制品研究所有限责任公司, 国产,2018
长春祈健生物制品有限公司,水痘减毒活疫苗,141.5,上海市,长春析健生物制品有限公司, 国产,2018
长春长生生物科技有限责任公司,水痘减毒活疫苗,149.5,上海市,长春长生生物科技有限责任公司, 国产,2018
长春百克生物科技股份公司,水痘减毒活疫苗,155.3,上海市,长春百克生物科技股份公司, 国产,2018
成都生物制品研究所有限责任公司,23价肺炎球菌多糖疫苗,186.2,上海市,成都生物制品研究所有限责任公司, 国产,2018
MERCK.SHARP.DOHME.CORP.,23价肺炎球菌多糖疫苗,208.5,上海市,Merck.Sharp.Dohme.Corp., 进口,2018
玉溪沃森生物技术有限公司,23价肺炎球菌多糖疫苗,205.5,上海市,玉溪沃森生物技术有限公司, 国产,2018
PFIZER.IRELAND.PHARMACEUTICALS,13价肺炎球菌多糖疫苗,703.5,上海市,Pfizer.Ireland.Pharmaceuticals, 进口,2018
华兰生物疫苗有限公司,流行性感冒病毒裂解疫苗,26.5,上海市,华兰生物疫苗有限公司, 国产,2018
北京科兴生物制品有限公司,流行性感冒病毒裂解疫苗,29.5,上海市,北京科兴生物制品有限公司, 国产,2018
上海生物制品研究所有限责任公司,流行性感冒病毒裂解疫苗,33.5,上海市,上海生物制品研究所有限责任公司, 国产,2018
SANOFI.PASTEUR.S.A,流行性感冒病毒裂解疫苗,34.5,上海市,深圳赛诺菲巴斯德生物制品有限公司, 国产,2018
上海生物制品研究所有限责任公司,流行性感冒病毒裂解疫苗,54.5,上海市,上海生物制品研究所有限责任公司, 国产,2018
